pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,barrel
FF,2017-04-30,96.3,-2.8288,5.3948,Giancarlo Stanton,519317,543339,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,B,NA,NA,2,2,2017,-0.5342,1.2557,2.0149,2.3296,NA,NA,NA,0,7,Bot,NA,NA,NA,NA,455755,NA,170430_200550,13.9152,-138.9529,-5.1625,-10.3949,35.8114,-15.0939,3.72,1.74,NA,NA,NA,94.778,2382,6.203,490471,543339,455755,605137,593700,543281,474568,570256,457705,444379,54.295,NA,NA,NA,NA,NA,NA,NA,62,5,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,NA
CH,2017-04-30,84.5,-2.7262,5.3994,Giancarlo Stanton,519317,543339,NA,foul,NA,NA,NA,NA,5,NA,R,R,R,MIA,PIT,S,NA,NA,2,1,2017,-1.4522,0.6238,-0.1666,3.0609,NA,NA,NA,0,7,Bot,NA,NA,NA,NA,455755,NA,170430_200521,8.8343,-122.3967,-0.222,-16.4632,26.6506,-26.1103,3.72,1.74,152,67.1,24.8,84.034,2334,6.46,490471,543339,455755,605137,593700,543281,474568,570256,457705,444379,54.0379,NA,NA,NA,NA,NA,NA,NA,62,4,Changeup,4,3,4,3,3,4,4,3,Standard,Standard,0
FF,2017-04-30,95.1,-2.8916,5.6335,Giancarlo Stanton,519317,543339,NA,ball,NA,NA,NA,NA,11,NA,R,R,R,MIA,PIT,B,NA,NA,1,1,2017,-1.0057,1.6925,-1.2511,3.3007,NA,NA,NA,0,7,Bot,NA,NA,NA,NA,455755,NA,170430_200457,6.4142,-137.6127,-3.9839,-14.073,35.4158,-10.5212,3.72,1.74,NA,NA,NA,93.268,2412,5.869,490471,543339,455755,605137,593700,543281,474568,570256,457705,444379,54.6286,NA,NA,NA,NA,NA,NA,NA,62,3,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,NA
FT,2017-04-30,95.2,-2.8992,5.157,Giancarlo Stanton,519317,543339,NA,foul,NA,NA,NA,NA,6,NA,R,R,R,MIA,PIT,S,NA,NA,1,0,2017,-0.9397,0.8806,0.7898,2.8691,NA,NA,NA,0,7,Bot,NA,NA,NA,NA,455755,NA,170430_200435,11.7196,-137.752,-2.219,-14.6882,32.9605,-20.7387,3.72,1.74,160,78.6,14.1,94.442,2490,6.325,490471,543339,455755,605137,593700,543281,474568,570256,457705,444379,54.1729,NA,NA,NA,NA,NA,NA,NA,62,2,2-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,0
FF,2017-04-30,94.8,-2.8398,5.5201,Giancarlo Stanton,519317,543339,NA,ball,NA,NA,NA,NA,11,NA,R,R,R,MIA,PIT,B,NA,NA,0,0,2017,-0.7323,1.4871,-1.1164,3.7167,NA,NA,NA,0,7,Bot,NA,NA,NA,NA,455755,NA,170430_200415,6.0826,-137.4222,-2.1913,-10.6832,35.7489,-13.3837,3.72,1.74,NA,NA,NA,93.58,2472,6.166,490471,543339,455755,605137,593700,543281,474568,570256,457705,444379,54.3317,NA,NA,NA,NA,NA,NA,NA,62,1,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,NA
FF,2017-04-30,96.8,-2.711,5.4397,Giancarlo Stanton,519317,592866,walk,ball,NA,NA,NA,NA,14,Giancarlo Stanton walks.   Dee Gordon to 2nd.,R,R,R,MIA,PIT,B,NA,NA,3,1,2017,-0.4965,1.2181,0.9674,1.1424,NA,NA,543829,2,5,Bot,NA,NA,NA,NA,455755,NA,170430_191332,10.9828,-140.0184,-8.629,-9.2945,34.7707,-14.1343,3.72,1.74,NA,NA,NA,96.608,2294,6.725,490471,592866,455755,605137,593700,543281,474568,570256,457705,444379,53.7732,NA,NA,0.7,1,0,0,NA,46,5,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,NA
FF,2017-04-30,96.4,-2.6107,5.41,Giancarlo Stanton,519317,592866,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,B,NA,NA,2,1,2017,-0.597,1.2448,1.071,1.3812,NA,NA,543829,2,5,Bot,NA,NA,NA,NA,455755,NA,170430_191308,11.2318,-139.5557,-7.9648,-10.6251,33.7843,-13.961,3.72,1.74,NA,NA,NA,96.692,2262,6.899,490471,592866,455755,605137,593700,543281,474568,570256,457705,444379,53.5993,NA,NA,NA,NA,NA,NA,NA,46,4,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,NA
FF,2017-04-30,96.5,-2.5714,5.569,Giancarlo Stanton,519317,592866,NA,ball,NA,NA,NA,NA,14,NA,R,R,R,MIA,PIT,B,NA,NA,1,1,2017,-0.4904,1.5459,0.7222,1.2009,NA,NA,543829,2,5,Bot,NA,NA,NA,NA,455755,NA,170430_191245,9.9267,-139.6095,-9.534,-8.9243,34.6362,-9.6491,3.72,1.74,NA,NA,NA,96.433,2272,6.792,490471,592866,455755,605137,593700,543281,474568,570256,457705,444379,53.706,NA,NA,NA,NA,NA,NA,NA,46,3,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,NA
SL,2017-04-30,84.1,-2.5661,5.6562,Giancarlo Stanton,519317,592866,NA,called_strike,NA,NA,NA,NA,1,NA,R,R,R,MIA,PIT,S,NA,NA,1,0,2017,0.6569,0.5262,-0.5421,3.104,NA,NA,543829,2,5,Bot,NA,NA,NA,NA,455755,NA,170430_191223,3.409,-122.3773,-0.6015,6.0407,24.0191,-26.8701,3.72,1.74,NA,NA,NA,84.934,2249,6.809,490471,592866,455755,605137,593700,543281,474568,570256,457705,444379,53.6885,NA,NA,NA,NA,NA,NA,NA,46,2,Slider,2,3,2,3,3,2,2,3,Standard,Standard,NA
FF,2017-04-30,95.8,-2.5868,5.5969,Giancarlo Stanton,519317,592866,NA,ball,NA,NA,NA,NA,13,NA,R,R,R,MIA,PIT,B,NA,NA,0,0,2017,-0.3489,1.5416,-0.3188,1.3037,NA,NA,543829,2,5,Bot,NA,NA,NA,NA,455755,NA,170430_191142,6.8357,-138.7682,-9.2297,-6.2407,34.1276,-9.9611,3.72,1.74,NA,NA,NA,96.046,2239,6.894,490471,592866,455755,605137,593700,543281,474568,570256,457705,444379,53.6039,NA,NA,NA,NA,NA,NA,NA,46,1,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,NA
